Cultivar	Wild
C001	Indica	
C002	Other	
C003	Japonica	
C004	Japonica	
C005	Japonica	
C006	Indica	
C007	Indica	
C008	Indica	
C009	Indica	
C010	Japonica	
C011	Indica	
C012	Japonica	
C013	Indica	
C014	Japonica	
C015	Indica	
C016	Japonica	
C017	Japonica	
C018	Japonica	
C019	Indica	
C020	Indica	
C021	Indica	
C022	Indica	
C023	Japonica	
C024	Indica	
C025	Indica	
C026	Japonica	
C027	Indica	
C028	Japonica	
C029	Japonica	
C030	Indica	
C031	Indica	
C032	Japonica	
C033	Indica	
C034	Japonica	
C035	Japonica	
C036	Indica	
C037	Indica	
C038	Indica	
C039	Indica	
C040	Indica	
C041	Indica	
C042	Indica	
C043	Indica	
C044	Indica	
C045	Indica	
C046	Indica	
C047	Indica	
C048	Japonica	
C049	Indica	
C050	Indica	
C051	Other	
C052	Japonica	
C053	Indica	
C054	Japonica	
C055	Indica	
C056	Japonica	
C057	Japonica	
C058	Indica	
C059	Indica	
C060	Indica	
C061	Indica	
C062	Indica	
C063	Japonica	
C064	Japonica	
C065	Indica	
C066	Indica	
C067	Japonica	
C068	Indica	
C069	Indica	
C070	Japonica	
C071	Japonica	
C072	Indica	
C073	Indica	
C074	Japonica	
C075	Japonica	
C076	Indica	
C077	Indica	
C078	Indica	
C079	Japonica	
C080	Indica	
C081	Indica	
C082	Japonica	
C083	Japonica	
C084	Japonica	
C085	Japonica	
C086	Indica	
C087	Japonica	
C088	Indica	
C089	Japonica	
C090	Indica	
C091	Indica	
C092	Indica	
C093	Japonica	
C094	Indica	
C095	Indica	
C096	Indica	
C097	Indica	
C098	Indica	
C099	Indica	
C100	Indica	
C101	Japonica	
C102	Indica	
C103	Japonica	
C104	Indica	
C105	Indica	
C106	Japonica	
C107	Indica	
C108	Indica	
C109	Indica	
C110	Indica	
C111	Japonica	
C112	Indica	
C113	Indica	
C114	Indica	
C115	Indica	
C116	Japonica	
C117	Indica	
C118	Indica	
C119	Japonica	
C120	Japonica	
C121	Indica	
C122	Indica	
C123	Japonica	
C124	Indica	
C125	Indica	
C127	Indica	
C128	Indica	
C129	Indica	
C130	Japonica	
C131	Indica	
C132	Indica	
C133	Japonica	
C134	Japonica	
C135	Indica	
C136	Indica	
C137	Japonica	
C138	Japonica	
C139	Indica	
C140	Indica	
C141	Indica	
C142	Indica	
C143	Indica	
C144	Japonica	
C145	Indica	
C146	Japonica	
C147	Indica	
C148	Indica	
C149	Japonica	
C150	Japonica	
C151	Indica	
C152	Japonica	
C153	Japonica	
C154	Japonica	
C155	Indica	
C156	Indica	
C157	Indica	
C158	Indica	
C159	Indica	
C160	Indica	
C161	Indica	
C162	Indica	
C163	Indica	
C164	Indica	
C165	Indica	
C166	Indica	
C167	Indica	
C168	Indica	
C169	Indica	
C170	Indica	
C171	Japonica	
C172	Japonica	
C173	Indica	
C174	Indica	
C175	Indica	
C176	Indica	
C177	Japonica	
C178	Indica	
C179	Japonica	
C180	Indica	
C181	Japonica	
C182	Indica	
C183	Indica	
C184	Indica	
C185	Japonica	
C186	Japonica	
C187	Japonica	
C188	Japonica	
C189	Japonica	
C190	Indica	
C191	Indica	
C192	Indica	
C193	Indica	
C194	Indica	
C195	Japonica	
C196	Japonica	
C197	Indica	
C198	Indica	
C199	Indica	
C200	Indica	
C201	Indica	
C202	Indica	
C203	Indica	
GP1	Other	
GP10	Indica	
GP100	Indica	
GP101	Indica	
GP102	Indica	
GP103	Indica	
GP104	Indica	
GP105	Indica	
GP106	Indica	
GP107	Indica	
GP108	Indica	
GP109	Other	
GP11	Indica	
GP110	Indica	
GP111	Indica	
GP112	Japonica	
GP113	Indica	
GP114	Indica	
GP115	Indica	
GP116	Indica	
GP117	Japonica	
GP118	Indica	
GP119	Indica	
GP12	Indica	
GP120	Indica	
GP121	Indica	
GP122	Indica	
GP123	Indica	
GP124	Indica	
GP125	Indica	
GP126	Japonica	
GP127	Indica	
GP128	Indica	
GP129	Indica	
GP13	Indica	
GP130	Indica	
GP131	Indica	
GP132	Indica	
GP133	Indica	
GP134	Indica	
GP135	Indica	
GP136	Indica	
GP137	Indica	
GP138	Indica	
GP139	Indica	
GP14	Indica	
GP140	Indica	
GP141	Indica	
GP142	Indica	
GP143	Indica	
GP144	Indica	
GP15	Indica	
GP16	Indica	
GP17	Indica	
GP18	Indica	
GP19	Indica	
GP2	Other	
GP20	Indica	
GP21	Indica	
GP22	Indica	
GP23	Indica	
GP24	Indica	
GP25	Indica	
GP26	Other	
GP260	Indica	
GP27	Indica	
GP28	Indica	
GP284	Other	
GP285	Indica	
GP29	Indica	
GP294	Other	
GP295	Other	
GP296	Other	
GP297	Other	
GP3	Indica	
GP30	Indica	
GP31	Indica	
GP32	Indica	
GP33	Indica	
GP34	Indica	
GP35	Indica	
GP36	Indica	
GP37	Indica	
GP38	Indica	
GP39	Japonica	
GP4	Indica	
GP40	Indica	
GP41	Indica	
GP42	Indica	
GP43	Indica	
GP44	Indica	
GP45	Indica	
GP46	Indica	
GP47	Indica	
GP48	Indica	
GP49	Indica	
GP497	Japonica	
GP498	Japonica	
GP499	Japonica	
GP5	Japonica	
GP50	Indica	
GP500	Japonica	
GP501	Japonica	
GP502	Japonica	
GP503	Japonica	
GP504	Japonica	
GP505	Japonica	
GP506	Japonica	
GP507	Japonica	
GP508	Japonica	
GP509	Japonica	
GP51	Indica	
GP510	Japonica	
GP511	Japonica	
GP512	Indica	
GP513	Japonica	
GP514	Japonica	
GP515	Japonica	
GP516	Japonica	
GP517	Japonica	
GP518	Japonica	
GP519	Japonica	
GP52	Indica	
GP520	Japonica	
GP521	Japonica	
GP522	Japonica	
GP523	Japonica	
GP524	Indica	
GP525	Japonica	
GP526	Indica	
GP527	Japonica	
GP528	Japonica	
GP529	Japonica	
GP53	Indica	
GP530	Indica	
GP531	Indica	
GP532	Japonica	
GP533	Indica	
GP534	Japonica	
GP535	Japonica	
GP536	Japonica	
GP537	Japonica	
GP538	Indica	
GP539	Other	
GP54	Indica	
GP540	Other	
GP541	Japonica	
GP542	Indica	
GP543	Other	
GP544	Japonica	
GP545	Japonica	
GP546	Japonica	
GP547	Japonica	
GP548	Japonica	
GP549	Japonica	
GP55	Japonica	
GP550	Japonica	
GP551	Japonica	
GP552	Japonica	
GP553	Indica	
GP554	Japonica	
GP555	Japonica	
GP556	Japonica	
GP557	Japonica	
GP558	Japonica	
GP559	Japonica	
GP56	Other	
GP560	Japonica	
GP561	Japonica	
GP562	Other	
GP563	Japonica	
GP564	Japonica	
GP565	Japonica	
GP566	Japonica	
GP567	Japonica	
GP568	Japonica	
GP569	Japonica	
GP57	Other	
GP570	Japonica	
GP571	Japonica	
GP572	Indica	
GP573	Indica	
GP574	Indica	
GP575	Japonica	
GP576	Indica	
GP577	Other	
GP578	Japonica	
GP579	Japonica	
GP58	Indica	
GP580	Japonica	
GP581	Japonica	
GP582	Japonica	
GP583	Japonica	
GP584	Japonica	
GP585	Japonica	
GP587	Indica	
GP588	Japonica	
GP589	Indica	
GP59	Japonica	
GP590	Japonica	
GP591	Japonica	
GP592	Japonica	
GP593	Indica	
GP594	Japonica	
GP595	Japonica	
GP596	Japonica	
GP597	Japonica	
GP598	Japonica	
GP599	Japonica	
GP6	Indica	
GP60	Indica	
GP601	Japonica	
GP602	Japonica	
GP603	Japonica	
GP605	Japonica	
GP606	Japonica	
GP607	Japonica	
GP608	Japonica	
GP609	Japonica	
GP61	Indica	
GP610	Japonica	
GP611	Japonica	
GP612	Japonica	
GP613	Japonica	
GP614	Japonica	
GP615	Other	
GP616	Japonica	
GP617	Japonica	
GP619	Japonica	
GP62	Indica	
GP620	Japonica	
GP621	Japonica	
GP622	Indica	
GP623	Japonica	
GP624	Indica	
GP625	Indica	
GP626	Japonica	
GP627	Other	
GP628	Indica	
GP629	Japonica	
GP63	Indica	
GP630	Japonica	
GP631	Indica	
GP632	Japonica	
GP633	Indica	
GP634	Japonica	
GP635	Other	
GP636	Japonica	
GP637	Indica	
GP638	Japonica	
GP639	Indica	
GP64	Indica	
GP640	Japonica	
GP641	Japonica	
GP642	Japonica	
GP643	Japonica	
GP644	Japonica	
GP645	Indica	
GP646	Japonica	
GP647	Japonica	
GP648	Japonica	
GP649	Japonica	
GP65	Indica	
GP650	Japonica	
GP651	Japonica	
GP652	Indica	
GP653	Japonica	
GP654	Japonica	
GP655	Japonica	
GP656	Japonica	
GP657	Japonica	
GP658	Other	
GP659	Japonica	
GP66	Indica	
GP660	Japonica	
GP661	Japonica	
GP662	Japonica	
GP663	Japonica	
GP664	Japonica	
GP665	Japonica	
GP666	Japonica	
GP667	Japonica	
GP668	Japonica	
GP669	Japonica	
GP67	Indica	
GP670	Japonica	
GP671	Japonica	
GP672	Japonica	
GP673	Japonica	
GP674	Japonica	
GP675	Japonica	
GP676	Indica	
GP677	Japonica	
GP678	Japonica	
GP679	Japonica	
GP68	Indica	
GP680	Japonica	
GP681	Japonica	
GP682	Japonica	
GP683	Japonica	
GP684	Japonica	
GP685	Japonica	
GP686	Japonica	
GP687	Japonica	
GP688	Japonica	
GP689	Japonica	
GP69	Indica	
GP690	Japonica	
GP691	Japonica	
GP692	Japonica	
GP693	Other	
GP694	Japonica	
GP695	Japonica	
GP696	Japonica	
GP697	Japonica	
GP698	Japonica	
GP699	Japonica	
GP7	Japonica	
GP70	Indica	
GP700	Japonica	
GP701	Japonica	
GP702	Japonica	
GP703	Japonica	
GP704	Japonica	
GP705	Japonica	
GP706	Japonica	
GP707	Japonica	
GP708	Japonica	
GP709	Japonica	
GP71	Indica	
GP710	Japonica	
GP711	Japonica	
GP712	Japonica	
GP713	Indica	
GP714	Japonica	
GP715	Indica	
GP716	Indica	
GP717	Japonica	
GP718	Japonica	
GP719	Other	
GP72	Indica	
GP720	Other	
GP721	Japonica	
GP722	Indica	
GP723	Japonica	
GP724	Japonica	
GP725	Japonica	
GP726	Japonica	
GP727	Japonica	
GP728	Japonica	
GP729	Japonica	
GP73	Indica	
GP730	Japonica	
GP731	Japonica	
GP732	Japonica	
GP733	Japonica	
GP734	Japonica	
GP735	Japonica	
GP736	Other	
GP737	Other	
GP738	Japonica	
GP739	Japonica	
GP74	Indica	
GP740	Japonica	
GP741	Japonica	
GP742	Japonica	
GP743	Japonica	
GP744	Japonica	
GP745	Japonica	
GP746	Japonica	
GP747	Japonica	
GP748	Japonica	
GP749	Japonica	
GP75	Other	
GP750	Japonica	
GP751	Japonica	
GP752	Other	
GP753	Japonica	
GP754	Japonica	
GP755	Japonica	
GP756	Japonica	
GP758	Japonica	
GP759	Japonica	
GP76	Indica	
GP760	Japonica	
GP761	Japonica	
GP762	Other	
GP764	Indica	
GP765	Japonica	
GP766	Japonica	
GP767	Indica	
GP768	Japonica	
GP769	Japonica	
GP77	Japonica	
GP770	Japonica	
GP771	Japonica	
GP772	Indica	
GP773	Japonica	
GP774	Japonica	
GP775	Japonica	
GP776	Japonica	
GP777	Japonica	
GP779	Japonica	
GP78	Indica	
GP780	Japonica	
GP782	Japonica	
GP783	Japonica	
GP784	Japonica	
GP785	Indica	
GP786	Japonica	
GP787	Japonica	
GP788	Japonica	
GP789	Japonica	
GP79	Indica	
GP790	Japonica	
GP791	Japonica	
GP792	Japonica	
GP793	Japonica	
GP794	Japonica	
GP795	Japonica	
GP796	Japonica	
GP797	Japonica	
GP798	Japonica	
GP799	Japonica	
GP8	Indica	
GP80	Indica	
GP800	Japonica	
GP801	Japonica	
GP802	Japonica	
GP803	Japonica	
GP804	Japonica	
GP805	Japonica	
GP806	Japonica	
GP807	Japonica	
GP808	Japonica	
GP809	Japonica	
GP81	Indica	
GP810	Japonica	
GP811	Japonica	
GP812	Japonica	
GP813	Japonica	
GP814	Japonica	
GP815	Indica	
GP82	Indica	
GP83	Indica	
GP84	Indica	
GP85	Indica	
GP86	Japonica	
GP87	Indica	
GP88	Japonica	
GP89	Indica	
GP9	Indica	
GP90	Indica	
GP91	Indica	
GP92	Indica	
GP93	Indica	
GP94	Indica	
GP95	Indica	
GP96	Indica	
GP97	Indica	
GP98	Indica	
GP99	Indica	
HP1	Japonica	
HP10	Japonica	
HP100	Japonica	
HP101	Japonica	
HP102	Japonica	
HP103	Japonica	
HP104	Japonica	
HP105	Japonica	
HP106	Japonica	
HP107	Japonica	
HP108	Japonica	
HP109	Japonica	
HP11	Japonica	
HP110	Japonica	
HP111	Japonica	
HP112	Japonica	
HP113	Japonica	
HP114	Japonica	
HP115	Japonica	
HP116	Japonica	
HP117	Japonica	
HP119	Indica	
HP12	Japonica	
HP120	Indica	
HP121	Indica	
HP122	Japonica	
HP123	Japonica	
HP124	Japonica	
HP125	Japonica	
HP127	Japonica	
HP128	Japonica	
HP129	Japonica	
HP13	Japonica	
HP130	Japonica	
HP131	Japonica	
HP132	Japonica	
HP133	Japonica	
HP134	Japonica	
HP135	Japonica	
HP136	Japonica	
HP137	Japonica	
HP138	Japonica	
HP139	Japonica	
HP14	Japonica	
HP140	Japonica	
HP141	Japonica	
HP142	Japonica	
HP143	Indica	
HP144	Indica	
HP145	Japonica	
HP146	Japonica	
HP147	Japonica	
HP148	Japonica	
HP149	Indica	
HP15	Japonica	
HP150	Japonica	
HP151	Japonica	
HP152	Japonica	
HP153	Japonica	
HP154	Japonica	
HP155	Japonica	
HP156	Japonica	
HP157	Japonica	
HP158	Japonica	
HP159	Japonica	
HP16	Japonica	
HP160	Japonica	
HP161	Japonica	
HP162	Japonica	
HP163	Japonica	
HP164	Indica	
HP165	Japonica	
HP166	Japonica	
HP167	Indica	
HP168	Japonica	
HP169	Japonica	
HP17	Japonica	
HP170	Japonica	
HP171	Japonica	
HP172	Japonica	
HP173	Japonica	
HP174	Indica	
HP175	Japonica	
HP176	Indica	
HP177	Indica	
HP178	Japonica	
HP179	Indica	
HP18	Japonica	
HP180	Indica	
