ID	Species	Name	area	Latitude	Longitude	Ecotype
C001	O. sativa	Sadu-cho	Korea	37.35	127.03	IndI
C002	O. sativa	Dom Sufid	Iran	35.45	51.3	VI
C003	O. sativa	Gerdeh	Iran	35.45	51.3	Jap_Int
C004	O. sativa	Li-Jiang-Xin-Tuan-Hei-Gu	China	25.04	102.41	TeJ
C005	O. sativa	AZUCENA	Philippines	14.6	121	TrJ
C006	O. sativa	Shan-Huang Zhan-2-1	China	23.08	113.15	Ind_Int
C007	O. sativa	Shan-Huang Zhan-2-2	China	23.08	113.15	Ind_Int
C008	O. sativa	Swarna	India	28.6	77.2	IndII
C009	O. sativa	MOROBEREKAN	Guinea	3.78	8.98	Ind_Int
C010	O. sativa	CYPRESS	United States	38.54	-77.02	TrJ
C011	O. sativa	MILYANG 23	Korea	37.35	127.03	IndII
C012	O. sativa	Tainong67	"Taiwan, China"	25.03	121.31	TeJ
C013	O. sativa	N 22	India	28.6	77.2	Aus
C014	O. sativa	M202	United States	38.54	-77.02	Jap_Int
C015	O. sativa	Dular	India	28.6	77.2	Aus
C016	O. sativa	Laoguangtou83	China	45.45	126.41	TeJ
C017	O. sativa	AnnongwangengB-1	China	37.51	117.18	TeJ
C018	O. sativa	AnnongwangengB-2	China	30.14	120.09	TeJ
C019	O. sativa	Aijiaonante	China	23.08	113.15	IndI
C020	O. sativa	Guangluai-4-1	China	28.11	113	IndI
C021	O. sativa	xiangaizao10	China	28.11	113	IndI
C022	O. sativa	JinnanteB	China	28.11	113	IndI
C023	O. sativa	Funingzipi	China	38.02	114.28	TeJ
C024	O. sativa	zhenshan97B-1	China	28.41	115.52	IndI
C025	O. sativa	Qingsiai16B	China	23.08	113.15	IndII
C026	O. sativa	Weiguo	China	41.5	123.24	TeJ
C027	O. sativa	Dianrui409B	China	25.04	102.41	Ind_Int
C028	O. sativa	Liaogeng287	China	41.5	123.24	TeJ
C029	O. sativa	Huhui628	China	NA	NA	Jap_Int
C030	O. sativa	88B-1	China	32.02	118.5	Ind_Int
C031	O. sativa	88B-2	China	32.02	118.5	Ind_Int
C032	O. sativa	Longhuamaohu	China	38.02	114.28	TeJ
C033	O. sativa	Lucaihao	China	26.05	119.18	IndI
C034	O. sativa	Zhonglouyihao1	China	37.52	112.34	TeJ
C035	O. sativa	Yelicanghua	China	38.02	114.28	TeJ
C036	O. sativa	Shufeng101	China	30.39	104.05	IndI
C037	O. sativa	Chengduai3hao	China	30.39	104.05	IndI
C038	O. sativa	Sankecui	China	28.11	113	Ind_Int
C039	O. sativa	Gongju73	China	25.04	102.41	IndI
C040	O. sativa	Jiabala	China	29.41	91.1	IndI
C041	O. sativa	Taishannuo	China	23.08	113.15	IndI
C042	O. sativa	Guichao2hao	China	23.08	113.15	Ind_Int
C043	O. sativa	Huke3hao	China	31.14	121.29	Ind_Int
C044	O. sativa	Teqingxuanhui	China	NA	NA	IndII
C045	O. sativa	Huangsiguizhan	China	23.08	113.15	IndII
C046	O. sativa	Xiangwanxian3hao	China	28.11	113	Ind_Int
C047	O. sativa	Hanmadao-2	China	34.48	113.42	IndI
C048	O. sativa	Zaoshunonghu6	China	28.11	113	TeJ
C049	O. sativa	Jinyou1hao	China	26.05	119.18	IndII
C050	O. sativa	Chengnongshuijing	China	30.39	104.05	IndII
C051	O. sativa	PeiC122	China	NA	NA	Int
C052	O. sativa	Guihuahuang	China	32.02	118.5	TeJ
C053	O. sativa	Momi	China	22.48	108.2	Ind_Int
C054	O. sativa	Xiushui115	China	30.14	120.09	TeJ
C055	O. sativa	Sanbaili	China	28.11	113	IndI
C056	O. sativa	Jindao1hao	China	37.52	112.34	TeJ
C057	O. sativa	Dandongludao	China	41.5	123.24	Jap_Int
C058	O. sativa	Liusha1hao	China	22.48	108.2	IndI
C059	O. sativa	Bawangbian1	China	30	114	IndI
C060	O. sativa	Dongtingwanxian	China	28.11	113	IndI
C061	O. sativa	Yangdao2hao	China	32.02	118.5	IndII
C062	O. sativa	WH62	China	NA	NA	IndI
C063	O. sativa	Geng87-304	China	28.11	113	TeJ
C064	O. sativa	Sugeng2hao	China	32.02	118.5	TeJ
C065	O. sativa	Hongwan1hao	China	26.05	119.18	Ind_Int
C066	O. sativa	Liushizao	China	30.39	104.05	IndI
C067	O. sativa	Muxiqiu	China	32.02	118.5	TeJ
C068	O. sativa	Taizhongxianxuan2	"Taiwan, China"	25.03	121.31	IndII
C069	O. sativa	Dangyu5hao	China	37.51	117.18	IndII
C070	O. sativa	Youmangzaogeng	China	32.02	118.5	TeJ
C071	O. sativa	Laohuzhong	China	30.4	120.5	TeJ
C072	O. sativa	Nantehao	China	28.41	115.52	IndI
C073	O. sativa	Esiniu	China	23.08	113.15	IndI
C074	O. sativa	cunsanli	China	32.02	118.5	TeJ
C075	O. sativa	Huangkezaonian	China	32.02	118.5	TeJ
C076	O. sativa	Benbanggu-1	China	30.39	104.05	IndI
C077	O. sativa	Benbanggu-2	China	30.39	104.05	IndI
C078	O. sativa	Qitoubaigu	China	25.04	102.41	IndI
C079	O. sativa	Muguanuo-1	China	28.11	113	TeJ
C080	O. sativa	Hanmadao-1	China	34.48	113.42	IndI
C081	O. sativa	Heidu4	China	23.08	113.15	IndI
C082	O. sativa	Gaoyangdiandao	China	38.02	114.28	TeJ
C083	O. sativa	chikenuo	China	26.05	119.18	TeJ
C084	O. sativa	Haobuka	China	25.04	102.41	Jap_Int
C085	O. sativa	Shanjiugu	China	30.39	104.05	Jap_Int
C086	O. sativa	Fanhaopi	China	25.04	102.41	Aus
C087	O. sativa	Lixingeng	China	30.39	104.05	TeJ
C088	O. sativa	Nangaogu-2	China	25.04	102.41	IndI
C089	O. sativa	Tieganwu	China	30.14	120.09	TeJ
C090	O. sativa	Sanlicun	China	34.16	108.54	IndII
C091	O. sativa	Meihuanuo-1	China	30.39	104.05	IndI
C092	O. sativa	Meihuanuo-2	China	30.39	104.05	IndI
C093	O. sativa	Xiangnuo-2	China	26.35	106.42	TeJ
C094	O. sativa	Menjiagao1	China	20.2	110.3	Ind_Int
C095	O. sativa	Xiaohonggu	China	25.04	102.41	IndI
C096	O. sativa	Jinxibai-1	China	28.41	115.52	Ind_Int
C097	O. sativa	Jinbaoyin	China	26.05	119.18	Ind_Int
C098	O. sativa	Hongainuo	China	22.48	108.2	Ind_Int
C099	O. sativa	WH099	China	NA	NA	Ind_Int
C100	O. sativa	WH100	China	NA	NA	Ind_Int
C101	O. sativa	Babaili	China	25.04	102.41	TeJ
C102	O. sativa	Qiyuexian	China	22.48	108.2	Ind_Int
C103	O. sativa	Yuyannuo-1	China	25.04	102.41	TeJ
C104	O. sativa	Mamagu-1	China	30.39	104.05	IndI
