file	chr	start	end
./data/chr01-1-1733500.snp.RData	chr01	1	1733500
./data/chr01-1733501-3385161.snp.RData	chr01	1733501	3385161
./data/chr01-3385162-5113365.snp.RData	chr01	3385162	5113365
./data/chr01-5113366-6566650.snp.RData	chr01	5113366	6566650
./data/chr01-6566651-8022764.snp.RData	chr01	6566651	8022764
./data/chr01-8022765-9589237.snp.RData	chr01	8022765	9589237
./data/chr01-9589238-11022337.snp.RData	chr01	9589238	11022337
./data/chr01-11022338-12237144.snp.RData	chr01	11022338	12237144
./data/chr01-12237145-13761740.snp.RData	chr01	12237145	13761740
./data/chr01-13761741-14897580.snp.RData	chr01	13761741	14897580
./data/chr01-14897581-16587903.snp.RData	chr01	14897581	16587903
./data/chr01-16587904-18288005.snp.RData	chr01	16587904	18288005
./data/chr01-18288006-19813724.snp.RData	chr01	18288006	19813724
./data/chr01-19813725-21571799.snp.RData	chr01	19813725	21571799
./data/chr01-21571800-22893022.snp.RData	chr01	21571800	22893022
./data/chr01-22893023-24167583.snp.RData	chr01	22893023	24167583
./data/chr01-24167584-25493705.snp.RData	chr01	24167584	25493705
./data/chr01-25493706-27236057.snp.RData	chr01	25493706	27236057
./data/chr01-27236058-28791680.snp.RData	chr01	27236058	28791680
./data/chr01-28791681-30309541.snp.RData	chr01	28791681	30309541
./data/chr01-30309542-31800897.snp.RData	chr01	30309542	31800897
./data/chr01-31800898-33440848.snp.RData	chr01	31800898	33440848
./data/chr01-33440849-35113317.snp.RData	chr01	33440849	35113317
./data/chr01-35113318-36783768.snp.RData	chr01	35113318	36783768
./data/chr01-36783769-38504118.snp.RData	chr01	36783769	38504118
./data/chr01-38504119-40061135.snp.RData	chr01	38504119	40061135
./data/chr01-40061136-41697427.snp.RData	chr01	40061136	41697427
./data/chr01-41697428-43270923.snp.RData	chr01	41697428	43270923
./data/chr02-1-1902996.snp.RData	chr02	1	1902996
./data/chr02-1902997-3738206.snp.RData	chr02	1902997	3738206
./data/chr02-3738207-5367450.snp.RData	chr02	3738207	5367450
./data/chr02-5367451-6802858.snp.RData	chr02	5367451	6802858
./data/chr02-6802859-8233749.snp.RData	chr02	6802859	8233749
./data/chr02-8233750-9845298.snp.RData	chr02	8233750	9845298
./data/chr02-9845299-11074207.snp.RData	chr02	9845299	11074207
./data/chr02-11074208-12568796.snp.RData	chr02	11074208	12568796
./data/chr02-12568797-14239196.snp.RData	chr02	12568797	14239196
./data/chr02-14239197-15747642.snp.RData	chr02	14239197	15747642
./data/chr02-15747643-17102036.snp.RData	chr02	15747643	17102036
./data/chr02-17102037-18514713.snp.RData	chr02	17102037	18514713
./data/chr02-18514714-19756723.snp.RData	chr02	18514714	19756723
./data/chr02-19756724-21122778.snp.RData	chr02	19756724	21122778
./data/chr02-21122779-22673457.snp.RData	chr02	21122779	22673457
./data/chr02-22673458-24198559.snp.RData	chr02	22673458	24198559
./data/chr02-24198560-25343394.snp.RData	chr02	24198560	25343394
./data/chr02-25343395-26783969.snp.RData	chr02	25343395	26783969
./data/chr02-26783970-28449147.snp.RData	chr02	26783970	28449147
./data/chr02-28449148-29990193.snp.RData	chr02	28449148	29990193
./data/chr02-29990194-31692154.snp.RData	chr02	29990194	31692154
./data/chr02-31692155-33426119.snp.RData	chr02	31692155	33426119
./data/chr02-33426120-35179024.snp.RData	chr02	33426120	35179024
./data/chr02-35179025-35937250.snp.RData	chr02	35179025	35937250
./data/chr03-1-1858252.snp.RData	chr03	1	1858252
./data/chr03-1858253-3569781.snp.RData	chr03	1858253	3569781
./data/chr03-3569782-5221065.snp.RData	chr03	3569782	5221065
./data/chr03-5221066-6984257.snp.RData	chr03	5221066	6984257
./data/chr03-6984258-8639020.snp.RData	chr03	6984258	8639020
./data/chr03-8639021-10253797.snp.RData	chr03	8639021	10253797
./data/chr03-10253798-11854847.snp.RData	chr03	10253798	11854847
./data/chr03-11854848-13670170.snp.RData	chr03	11854848	13670170
./data/chr03-13670171-15139635.snp.RData	chr03	13670171	15139635
./data/chr03-15139636-16372205.snp.RData	chr03	15139636	16372205
./data/chr03-16372206-17621578.snp.RData	chr03	16372206	17621578
./data/chr03-17621579-19195645.snp.RData	chr03	17621579	19195645
./data/chr03-19195646-20763370.snp.RData	chr03	19195646	20763370
./data/chr03-20763371-22134499.snp.RData	chr03	20763371	22134499
./data/chr03-22134500-23444363.snp.RData	chr03	22134500	23444363
./data/chr03-23444364-24856175.snp.RData	chr03	23444364	24856175
./data/chr03-24856176-26255144.snp.RData	chr03	24856176	26255144
./data/chr03-26255145-27700335.snp.RData	chr03	26255145	27700335
./data/chr03-27700336-29114352.snp.RData	chr03	27700336	29114352
./data/chr03-29114353-30720895.snp.RData	chr03	29114353	30720895
./data/chr03-30720896-32408189.snp.RData	chr03	30720896	32408189
./data/chr03-32408190-33911374.snp.RData	chr03	32408190	33911374
./data/chr03-33911375-35349761.snp.RData	chr03	33911375	35349761
./data/chr03-35349762-36413819.snp.RData	chr03	35349762	36413819
./data/chr04-1-1331342.snp.RData	chr04	1	1331342
./data/chr04-1331343-3145924.snp.RData	chr04	1331343	3145924
./data/chr04-3145925-4554669.snp.RData	chr04	3145925	4554669
./data/chr04-4554670-5649093.snp.RData	chr04	4554670	5649093
./data/chr04-5649094-6703696.snp.RData	chr04	5649094	6703696
./data/chr04-6703697-8437128.snp.RData	chr04	6703697	8437128
./data/chr04-8437129-10649119.snp.RData	chr04	8437129	10649119
./data/chr04-10649120-12293972.snp.RData	chr04	10649120	12293972
./data/chr04-12293973-13557374.snp.RData	chr04	12293973	13557374
./data/chr04-13557375-15493822.snp.RData	chr04	13557375	15493822
./data/chr04-15493823-17002183.snp.RData	chr04	15493823	17002183
./data/chr04-17002184-18237307.snp.RData	chr04	17002184	18237307
./data/chr04-18237308-19769430.snp.RData	chr04	18237308	19769430
./data/chr04-19769431-21158847.snp.RData	chr04	19769431	21158847
./data/chr04-21158848-22747470.snp.RData	chr04	21158848	22747470
./data/chr04-22747471-24405669.snp.RData	chr04	22747471	24405669
./data/chr04-24405670-26146464.snp.RData	chr04	24405670	26146464
./data/chr04-26146465-27859901.snp.RData	chr04	26146465	27859901
./data/chr04-27859902-29457312.snp.RData	chr04	27859902	29457312
./data/chr04-29457313-31238000.snp.RData	chr04	29457313	31238000
./data/chr04-31238001-32850512.snp.RData	chr04	31238001	32850512
./data/chr04-32850513-34729837.snp.RData	chr04	32850513	34729837
./data/chr04-34729838-35502694.snp.RData	chr04	34729838	35502694
./data/chr05-1-1713231.snp.RData	chr05	1	1713231
./data/chr05-1713232-3486200.snp.RData	chr05	1713232	3486200
./data/chr05-3486201-5163694.snp.RData	chr05	3486201	5163694
./data/chr05-5163695-6465183.snp.RData	chr05	5163695	6465183
./data/chr05-6465184-7622165.snp.RData	chr05	6465184	7622165
./data/chr05-7622166-8841224.snp.RData	chr05	7622166	8841224
./data/chr05-8841225-10581839.snp.RData	chr05	8841225	10581839
./data/chr05-10581840-12646926.snp.RData	chr05	10581840	12646926
./data/chr05-12646927-14264780.snp.RData	chr05	12646927	14264780
./data/chr05-14264781-15709790.snp.RData	chr05	14264781	15709790
./data/chr05-15709791-17035799.snp.RData	chr05	15709791	17035799
./data/chr05-17035800-18394896.snp.RData	chr05	17035800	18394896
./data/chr05-18394897-19740948.snp.RData	chr05	18394897	19740948
./data/chr05-19740949-21094922.snp.RData	chr05	19740949	21094922
./data/chr05-21094923-22644835.snp.RData	chr05	21094923	22644835
./data/chr05-22644836-24100183.snp.RData	chr05	22644836	24100183
./data/chr05-24100184-25690669.snp.RData	chr05	24100184	25690669
./data/chr05-25690670-27459643.snp.RData	chr05	25690670	27459643
./data/chr05-27459644-29125448.snp.RData	chr05	27459644	29125448
./data/chr05-29125449-29958434.snp.RData	chr05	29125449	29958434
./data/chr06-1-1748201.snp.RData	chr06	1	1748201
./data/chr06-1748202-3639744.snp.RData	chr06	1748202	3639744
./data/chr06-3639745-5299096.snp.RData	chr06	3639745	5299096
./data/chr06-5299097-6648124.snp.RData	chr06	5299097	6648124
./data/chr06-6648125-7860885.snp.RData	chr06	6648125	7860885
./data/chr06-7860886-9472952.snp.RData	chr06	7860886	9472952
./data/chr06-9472953-11005600.snp.RData	chr06	9472953	11005600
./data/chr06-11005601-12533976.snp.RData	chr06	11005601	12533976
./data/chr06-12533977-13614703.snp.RData	chr06	12533977	13614703
./data/chr06-13614704-14867253.snp.RData	chr06	13614704	14867253
./data/chr06-14867254-16412110.snp.RData	chr06	14867254	16412110
./data/chr06-16412111-17520853.snp.RData	chr06	16412111	17520853
./data/chr06-17520854-19231383.snp.RData	chr06	17520854	19231383
./data/chr06-19231384-20542155.snp.RData	chr06	19231384	20542155
./data/chr06-20542156-21818329.snp.RData	chr06	20542156	21818329
./data/chr06-21818330-23394518.snp.RData	chr06	21818330	23394518
./data/chr06-23394519-25001856.snp.RData	chr06	23394519	25001856
./data/chr06-25001857-26490982.snp.RData	chr06	25001857	26490982
./data/chr06-26490983-27869200.snp.RData	chr06	26490983	27869200
./data/chr06-27869201-29515607.snp.RData	chr06	27869201	29515607
./data/chr06-29515608-31248787.snp.RData	chr06	29515608	31248787
./data/chr07-1-1665261.snp.RData	chr07	1	1665261
./data/chr07-1665262-3504477.snp.RData	chr07	1665262	3504477
./data/chr07-3504478-5089497.snp.RData	chr07	3504478	5089497
./data/chr07-5089498-6795927.snp.RData	chr07	5089498	6795927
./data/chr07-6795928-8024665.snp.RData	chr07	6795928	8024665
./data/chr07-8024666-9151495.snp.RData	chr07	8024666	9151495
./data/chr07-9151496-10575837.snp.RData	chr07	9151496	10575837
./data/chr07-10575838-12000048.snp.RData	chr07	10575838	12000048
./data/chr07-12000049-13626439.snp.RData	chr07	12000049	13626439
./data/chr07-13626440-15350746.snp.RData	chr07	13626440	15350746
./data/chr07-15350747-16502030.snp.RData	chr07	15350747	16502030
./data/chr07-16502031-18076444.snp.RData	chr07	16502031	18076444
./data/chr07-18076445-19559375.snp.RData	chr07	18076445	19559375
./data/chr07-19559376-21038337.snp.RData	chr07	19559376	21038337
./data/chr07-21038338-22515575.snp.RData	chr07	21038338	22515575
./data/chr07-22515576-24254827.snp.RData	chr07	22515576	24254827
./data/chr07-24254828-26022510.snp.RData	chr07	24254828	26022510
./data/chr07-26022511-27955633.snp.RData	chr07	26022511	27955633
./data/chr07-27955634-29570638.snp.RData	chr07	27955634	29570638
./data/chr07-29570639-29697621.snp.RData	chr07	29570639	29697621
./data/chr08-1-1619244.snp.RData	chr08	1	1619244
./data/chr08-1619245-3325874.snp.RData	chr08	1619245	3325874
./data/chr08-3325875-5018649.snp.RData	chr08	3325875	5018649
./data/chr08-5018650-6350790.snp.RData	chr08	5018650	6350790
./data/chr08-6350791-8502977.snp.RData	chr08	6350791	8502977
./data/chr08-8502978-9893386.snp.RData	chr08	8502978	9893386
./data/chr08-9893387-11083694.snp.RData	chr08	9893387	11083694
./data/chr08-11083695-12782043.snp.RData	chr08	11083695	12782043
./data/chr08-12782044-14613332.snp.RData	chr08	12782044	14613332
./data/chr08-14613333-16198063.snp.RData	chr08	14613333	16198063
./data/chr08-16198064-17464313.snp.RData	chr08	16198064	17464313
./data/chr08-17464314-18632223.snp.RData	chr08	17464314	18632223
./data/chr08-18632224-19823522.snp.RData	chr08	18632224	19823522
./data/chr08-19823523-21201960.snp.RData	chr08	19823523	21201960
./data/chr08-21201961-22787088.snp.RData	chr08	21201961	22787088
./data/chr08-22787089-24316813.snp.RData	chr08	22787089	24316813
./data/chr08-24316814-25734993.snp.RData	chr08	24316814	25734993
./data/chr08-25734994-27272327.snp.RData	chr08	25734994	27272327
./data/chr08-27272328-28443022.snp.RData	chr08	27272328	28443022
./data/chr09-1-1749543.snp.RData	chr09	1	1749543
./data/chr09-1749544-3495650.snp.RData	chr09	1749544	3495650
./data/chr09-3495651-5166404.snp.RData	chr09	3495651	5166404
./data/chr09-5166405-6483753.snp.RData	chr09	5166405	6483753
./data/chr09-6483754-7515858.snp.RData	chr09	6483754	7515858
./data/chr09-7515859-9134278.snp.RData	chr09	7515859	9134278
